REDE CREDENCIADA 2026,,,,,,,
Epecialidade,Viver,Particular,Diferença,Telefone,Local,Endereço,Incluso
Cirurgia Bariátrica,"R$ 250,00","R$ 450,00","R$ 200,00",(47) 3842-3978,Nova Medical Center,Avenida Rolf Wiest 333 SUBSL S19 | Bom Retiro - Estacionamento Garten Shopping- Joinville - SC,Consulta
"Cirurgia Geral Cirurgua Geral
Cardiologia","R$ 180,00
R$ 200,00
R$ 180,00","R$ 450,00
R$ 400,00
R$ 400,00","R$ 270,00
R$ 200,00
R$ 220,00","(47) 3422-1602
(47)3842-3978
(47) 3305-8999","Instituto de Cirurgia de Joinville Nova Medical Center
Clínica Voe Saúde","Endereço: Ed. Terraço Center, R. Mário Lobo, 61 - Sala 804 - Centro, Joinville - SC.   Avenida Rolf Wiest 333 SUBSL S19 | Bom Retiro - Estacionamento Garten Shopping- Joinville - SC
Rua Tuiuti, 2295 - Sala 201, Joinville/SC","Consulta
Consulta IDADE MÍNIMA 18 ANOS"
"Cardiologia Cardiologia Cardiologia
Cardiologia","R$145,00 R$ 250,00
R$ 380,00
R$ 400,00","R$ 165,00
R$ 450,00
R$ 500,00
R$ 450,00","R$ 20,00
R$ 230,00
R$ 120,00
R$ 50,00","(47)3030-3073
(47) 3842-3978
(47) 3422-5555
(47) 3029-2273","Clínica Atend já Nova Medical Center Prontocor Clínica
Clínica Cardiológica Vittacor","R. Alexandre Döhler, 331 - Centro, Joinville - SC, 89201-260
Avenida Rolf Wiest 333 SUBSL S19 | Bom Retiro - Estacionamento Garten Shopping- Joinville - SC Rua Quinze de Novembro nº 867, América, Joinville/SC.
Rua Abdon Batista nº 47, Centro, Joinville/SC",Consulta e eletro
"Clínico Geral
Clínico Geral Clínico Geral","R$ 75,00
R$ 90,00
R$ 150,00","R$ 190,00
R$ 110,00
R$ 300,00","R$ 115,00
R$ 20,00
R$ 150,00","(47) 3305-8999
(47)3030-3073
(47) 3842-3978","Clínica Voe Saúde
Clínica Atend já Nova Medical Center","Rua Tuiuti, 2295 - Sala 201, Joinville/SC
R. Alexandre Döhler, 331 - Centro, Joinville - SC, 89201-260
Avenida Rolf Wiest 333 SUBSL S19 | Bom Retiro - Estacionamento Garten Shopping- Joinville - SC",CONSULTA DR HELLEN SEM MÍNIMO/DR HENRIQUE MÍNIMO 12 ANOS
"Clínico Geral
Dermatologia Dermatologia","R$ 220,00
R$160,00 R$ 250,00","R$ 400,00
R$ 180,00
R$ 450,00","R$ 180,00
R$ 20,00
R$ 200,00","(47) 3422-3666
(47)3030-3073
(47) 3842-3978","Curumim Especialidades Clínica Atend já
Nova Medical Center","Rua Blumenau nº 314, América, Joinville/SC
R. Alexandre Döhler, 331 - Centro, Joinville - SC, 89201-260
Avenida Rolf Wiest 333 SUBSL S19 | Bom Retiro - Estacionamento Garten Shopping- Joinville - SC",
Dermatologia,"R$ 220,00","R$ 400,00","R$ 180,00",(47) 3422-3666,Curumim Especialidades,"Rua Blumenau nº 314, América, Joinville/SC",
"Dermatologia Pediatra Dermatologia Pediatra
Endocrinologia","R$ 400,00
R$ 250,00
R$ 250,00","R$ 500,00
R$ 450,00
R$ 490,00","R$ 100,00
R$ 250,00
R$ 240,00","(47) 3207-2770
(47) 3842-3978
(47) 3305-8999","Clínica Pequenos Anjos Nova Medical Center
Clínica Voe Saúde","Rua Expedicionário Holz, 550 – 9º andar, sala 910 – Bairro Atiradores, Joinville/SC
Avenida Rolf Wiest 333 SUBSL S19 | Bom Retiro - Estacionamento Garten Shopping- Joinville - SC Rua Tuiuti, 2295 - Sala 201, Joinville/SC",
"Endocrinologia Endocrinologia
Endocrinologia","R$ 250,00
R$ 165,00
R$ 250,00","R$ 450,00
R$ 210,00
R$ 450,00","R$ 200,00
R$ 35,00
R$ 200,00","(47) 3032-0100
(47)3030-3073
(47) 3842-3978","Clínica Mulher Clínica Atend já
Nova Medical Center","R. Timbó, 325 - América, Joinville - SC, 89204-050, Brasil
R. Alexandre Döhler, 331 - Centro, Joinville - SC, 89201-260
Avenida Rolf Wiest 333 SUBSL S19 | Bom Retiro - Estacionamento Garten Shopping- Joinville - SC",Meninas a partir de 14 anos e meninos a partir dos 18 anos
Endocrinologia Pediatra,"R$ 400,00","R$ 500,00","R$ 100,00",(47) 3207-2770,Clínica Pequenos Anjos,"Rua Expedicionário Holz, 550 – 9º andar, sala 910 – Bairro Atiradores, Joinville/SC",
"Fisioterapia
Fisioterapia Fisioterapia","R$ 75,00
R$ 111,00
Tabela Especial","R$ 120,00
R$ 148,00
-","R$ 45,00
R$ 37,00
-","(47) 9960-7332
(47) 99749-3705
(47) 3028-0072","Clinica Fisioser Ânima Fisio
Reativa Reabilitação e Fisioterapia","Rua Adriano Schondermank nº 378, Costa e Silva, Joinville/SC
R. Tuiuti, 2295 - Segundo pavimento - Aventureiro, Joinville.
R. Bento Torquato da Rocha, 450 - Vila Nova, Joinville - SC, 89237-100",
